"advertiser_id","url","title","description","country","city","ZIP","canton","street","phone","type","category","property","floor","room","surface","price","currency","availableDate","extra","photos"
"ID1699","https://anibis.ch/fr/d-immobilier-immobilier-locations-vaud--434/appartement-de-3-1-2-%c3%a0-cheseaux-tr%c3%a8s-lumineux-et-calme--30384595.aspx?view=2&pi=1&fcid=410&pr=1","Appartement de 3 1/2 à Cheseaux très lumineux et calme","Bel appartement très lumineux de 3 pièces et demi situé à Cheseaux-sur-Lausanne, dans un petit immeuble de 6 appartements. Reprise de bail pour le 1er octobre 2019. 

L'appartement de 56m2 au rez-supérieur, se compose:   
- D'un très grande et lumineuse pièce à vivre, donnant sur le balcon de 12 m2 qui a été refait en juillet 2019.   
- Une belle cuisine équipée refaite en 2017 (vitrocéramique, lave-vaisselle) avec accès au balcon.   
- Deux chambres dont une avec accès au balcon   
- Salle de bain refaite en 2017   
- Cave   
- Buanderie   
- Place de parc   
Quartier très calme, ruelle sans issue, à 2 minutes du LEB et commerce à moins de 5 minutes à pieds. Voiture, Lausanne en 10 minutes, CHUV en 15 min, autoroute en moins de 10 minutes.   
Animaux autorisé   
Le prix est de 1650.-, il comprend le loyer, les charges et les places de parcs (2 places). ","Suisse","Cheseaux-sur-Lausanne","1033","(VD)","Chemin de la Plantaz 24","+41 786097161","RENT","1","0","0","3.0 ","56 m2","1650","CHF","30.09.2019","Animaux domestiques acceptés - Balcon / Terrasse / Jardinet - Garage / Place de parc ","['https://can01.anibis.ch/Vaud-Appartement-de-3-1-2-a-Cheseaux-tres-lumineux-et-c/?1024x768/3/60/anibis/595/384/030/NmpiyEDR5UOvn7kGdItmGQ_1.jpg', 'https://can01.anibis.ch/Vaud-Appartement-de-3-1-2-a-Cheseaux-tres-lumineux-et-c/?1024x768/3/60/anibis/595/384/030/MTxN5FsijEmQTDO9ifvVkQ_1.jpg', 'https://can01.anibis.ch/Vaud-Appartement-de-3-1-2-a-Cheseaux-tres-lumineux-et-c/?1024x768/3/60/anibis/595/384/030/brP-35Mm60yfOAGiINPS9g_1.jpg', 'https://can01.anibis.ch/Vaud-Appartement-de-3-1-2-a-Cheseaux-tres-lumineux-et-c/?1024x768/3/60/anibis/595/384/030/lELiVTgHz0WCGLOIQKGs2Q_1.jpg', 'https://can01.anibis.ch/Vaud-Appartement-de-3-1-2-a-Cheseaux-tres-lumineux-et-c/?1024x768/3/60/anibis/595/384/030/8VrUatgpnEmerbKP0PK6XA_1.jpg', 'https://can01.anibis.ch/Vaud-Appartement-de-3-1-2-a-Cheseaux-tres-lumineux-et-c/?1024x768/3/60/anibis/595/384/030/erllIpSFWkGWxrVj1JUEtQ_1.jpg', 'https://can01.anibis.ch/Vaud-Appartement-de-3-1-2-a-Cheseaux-tres-lumineux-et-c/?1024x768/3/60/anibis/595/384/030/WPn8EaJ3z0yeMhatfncF9w_1.jpg', 'https://can01.anibis.ch/Vaud-Appartement-de-3-1-2-a-Cheseaux-tres-lumineux-et-c/?1024x768/3/60/anibis/595/384/030/RQiOWGeeBkW2B1J93mvSaQ_1.jpg', 'https://can01.anibis.ch/Vaud-Appartement-de-3-1-2-a-Cheseaux-tres-lumineux-et-c/?1024x768/3/60/anibis/595/384/030/fZA0yKYjIEiQWFGPCDXfCQ_1.jpg']"
"ID96087","https://anibis.ch/fr/d-immobilier-immobilier-locations-neuch%c3%a2tel--423/1er-loyer-gratuit-45-p-jardin-option-concierge--27956308.aspx?view=2&pi=1&fcid=410&pr=1","1er loyer gratuit ! 4.5 p + jardin (option concierge)","Région Vully, superbe et grand appartement de 4.5 pièces (120 m2) au rez comprenant:

Hall d'entrée avec grandes armoires murales
cuisine agencée et équipée
séjour + espace à manger
3 belles chambres
2 salles de bain / WC
buanderie privative équipée dans l'appartement
jardin privatif - terrasse
cave

Loyer mensuel dès CHF 1740 .- + forfait charges CHF 200.-
Box et place de parc en sus: CHF 100.- / mois
1er loyer gratuit. !!!
Possibilité de prendre la patire conciergerie de l'immeuble (6 appartements)
Libre dès le 1er octobre ou à convenir
Adresse: Ch. des Condémines 2, 1587 Constantine - Vully-le-lacs
Contacte: Mme Sonia Ridoux - Agence Ridoux - Tél. 026 675 49 29
","Suisse","Constantine","1587","(VD)",">undefined street<",">undefined phone number<","RENT","1","0","0","4.5 ","120 m2","1740","CHF","01.10.2019","Animaux domestiques acceptés - Ascenseur - Balcon / Terrasse / Jardinet - Garage / Place de parc ","['https://can01.anibis.ch/Neuchatel-1er-loyer-gratuit-!-4.5-p-+-jardin-(option-concier/?1024x768/3/60/anibis/308/956/027/qsjqTqbeBE20mqLxW7z89g_1.jpg', 'https://can01.anibis.ch/Neuchatel-1er-loyer-gratuit-!-4.5-p-+-jardin-(option-concier/?1024x768/3/60/anibis/308/956/027/eTRoB-V0c0yxTRUH12PMHg_1.jpg', 'https://can01.anibis.ch/Neuchatel-1er-loyer-gratuit-!-4.5-p-+-jardin-(option-concier/?1024x768/3/60/anibis/308/956/027/2IhzG2fYaUGnPtkvc3kMKw_1.jpg', 'https://can01.anibis.ch/Neuchatel-1er-loyer-gratuit-!-4.5-p-+-jardin-(option-concier/?1024x768/3/60/anibis/308/956/027/lbgenstq5k-M1g1rMZ7O_g_1.jpg', 'https://can01.anibis.ch/Neuchatel-1er-loyer-gratuit-!-4.5-p-+-jardin-(option-concier/?1024x768/3/60/anibis/308/956/027/DID3wQ4zbUCHolUi5s-LfQ_1.jpg']"
"ID5322","https://anibis.ch/fr/d-immobilier-immobilier-locations-vaud--434/magnifique-appartement-familiale--30384601.aspx?view=2&pi=1&fcid=410&pr=1","Magnifique appartement familiale","Je remets mon appartement de 4 pièces et demi à l Av Bel -air a la tour-de-peilz pour le 15 janvier 2020 appartement au 2 ème étage avec ascenseur très lumineux  balcon près de 95 m2 très  bien desservi par les transports publics gare à 5 minutes et bus devant l immeuble l école de Bel-Air ce trouve juste à  côté  nous avons aussi un magnifique jardin commun le centre de la tour-de-peilz ce trouve à 5 minutes à pieds 2000 frs charge comprises et possibilité de louer garage box pour 170 frs appeler moi pour une visite","Suisse","La Tour-de-Peilz","1814","(VD)",">undefined street<","+41 763395656","RENT","1","0","0","4.5 ","95 m2","2000","CHF","15.01.2020","Animaux domestiques acceptés - Ascenseur - Balcon / Terrasse / Jardinet - Garage / Place de parc ","['https://can01.anibis.ch/Vaud-Magnifique-appartement-familiale/?1024x768/3/60/anibis/601/384/030/nKcPjz__t0-BOqcX6f-4LA_1.jpg', 'https://can01.anibis.ch/Vaud-Magnifique-appartement-familiale/?1024x768/3/60/anibis/601/384/030/AjD_h4KmekGgQsgYfVJaeA_1.jpg', 'https://can01.anibis.ch/Vaud-Magnifique-appartement-familiale/?1024x768/3/60/anibis/601/384/030/kYHmi8N1D0KSb9Rr2Gsa8Q_1.jpg', 'https://can01.anibis.ch/Vaud-Magnifique-appartement-familiale/?1024x768/3/60/anibis/601/384/030/bwylUS-u3EeI6e_mnj0u1g_1.jpg', 'https://can01.anibis.ch/Vaud-Magnifique-appartement-familiale/?1024x768/3/60/anibis/601/384/030/byUmb2B9mEC4fmqTOT10jA_1.jpg', 'https://can01.anibis.ch/Vaud-Magnifique-appartement-familiale/?1024x768/3/60/anibis/601/384/030/V0orDD1-U0mD6GN5bO3bMg_1.jpg', 'https://can01.anibis.ch/Vaud-Magnifique-appartement-familiale/?1024x768/3/60/anibis/601/384/030/CfNmobSJ8E-BzmuR_MBZMg_1.jpg', 'https://can01.anibis.ch/Vaud-Magnifique-appartement-familiale/?1024x768/3/60/anibis/601/384/030/zgX9LbFBuEqsBDJq6EHWGg_1.jpg', 'https://can01.anibis.ch/Vaud-Magnifique-appartement-familiale/?1024x768/3/60/anibis/601/384/030/Yqi64DcCkk2y3hVi_Uy5tA_1.jpg']"
"ID63231","https://anibis.ch/fr/d-immobilier-immobilier-locations-fribourg--417/m%c3%b4tier-vully,-2-pi%c3%a8ces-et-demie-de-standing-dans-villa--29721411.aspx?view=2&pi=1&fcid=410&pr=1","Môtier-Vully, 2 pièces et demie de standing dans villa","-vue sur le lac, dans les vignes

-accès (piéton) au lac

-terrasse plain-pied de 30m2

-jardin privatif de 200m2

-pergola 18m2

-chauffage au sol, pompe à chaleur

-douche/WC séparé

-cuisine équipée, plan granit

-stores électriques/interphone

-2 places de parc extérieures

-cave individuelle 12m2

-le propriétaire n'habite pas dans la maison","Suisse","Môtier (Vully)","1787","(FR)","Route du Lac 41",">undefined phone number<","RENT","1","0","0","2.5 ","75 m2","1790","CHF","01.08.2019","Balcon / Terrasse / Jardinet - Garage / Place de parc ","['https://can01.anibis.ch/Fribourg-Motier-Vully,-2-pieces-et-demie-de-standing-dans-v/?1024x768/3/60/anibis/411/721/029/_XMidjW2W02GG2zvD1P2uA_1.jpg', 'https://can01.anibis.ch/Fribourg-Motier-Vully,-2-pieces-et-demie-de-standing-dans-v/?1024x768/3/60/anibis/411/721/029/ZRPOr1dSLEyzJR_4vjuUNA_1.jpg', 'https://can01.anibis.ch/Fribourg-Motier-Vully,-2-pieces-et-demie-de-standing-dans-v/?1024x768/3/60/anibis/411/721/029/14WpQu7gfUK9WwL2V7lEfQ_1.jpg', 'https://can01.anibis.ch/Fribourg-Motier-Vully,-2-pieces-et-demie-de-standing-dans-v/?1024x768/3/60/anibis/411/721/029/EDSkN_AEeUiu4IL1F6lPHA_1.jpg', 'https://can01.anibis.ch/Fribourg-Motier-Vully,-2-pieces-et-demie-de-standing-dans-v/?1024x768/3/60/anibis/411/721/029/5F71NfJWU0yol9-ORbxpMQ_1.jpg', 'https://can01.anibis.ch/Fribourg-Motier-Vully,-2-pieces-et-demie-de-standing-dans-v/?1024x768/3/60/anibis/411/721/029/JcLUuiT1lkObdES7GwSiLg_1.jpg', 'https://can01.anibis.ch/Fribourg-Motier-Vully,-2-pieces-et-demie-de-standing-dans-v/?1024x768/3/60/anibis/411/721/029/8LSmA9SBqk6TzfNgWRNLKg_1.jpg', 'https://can01.anibis.ch/Fribourg-Motier-Vully,-2-pieces-et-demie-de-standing-dans-v/?1024x768/3/60/anibis/411/721/029/Ym4Tdlcmlk28l8VqZDtZeg_1.jpg', 'https://can01.anibis.ch/Fribourg-Motier-Vully,-2-pieces-et-demie-de-standing-dans-v/?1024x768/3/60/anibis/411/721/029/BuqGxxMljkyY3NZRoImKQA_1.jpg', 'https://can01.anibis.ch/Fribourg-Motier-Vully,-2-pieces-et-demie-de-standing-dans-v/?1024x768/3/60/anibis/411/721/029/ZIHbSexdRU-3bJIE7oT5Wg_1.jpg']"
"ID34309","https://anibis.ch/fr/d-immobilier-immobilier-locations-vaud--434/tr%c3%a8s-beau-duplex-attique-face-au-lac--30384215.aspx?view=2&pi=1&fcid=410&pr=1","Très beau duplex/attique face au lac ","A louer très grand duplex en attique de 180m2 à deux minutes du lac et dix minutes à pied de la gare.

Comprenant: Sapcieux hall d'entrée avec 2 armoires de rangements, une très belle cuisine agencée ouverte sur un grand séjour lumineux avec une magnifique vue lac. 4 chambres dont une très grande dans les combles avec sa propre salle de douche. Un wc visiteur, une salle de bain lumineuse avec colonne de lavage.

Très grande et belle terrasse de 70m2 face au lac avec grande pergola bio-climatique. Ainsi que deux places de parcs complète ce bien.

Vous avez également de nombreux espaces de rangements sous les toits. Aucun voisinage! 

CHF 3470.- charges comprises.","Suisse","Rolle","1180","(VD)",">undefined street<","+41 796355439","RENT","1","16","0","5.5 ","180 m2","3470","CHF","01.12.2019","Animaux domestiques acceptés - Balcon / Terrasse / Jardinet - Garage / Place de parc ","['https://can01.anibis.ch/Vaud-Tres-beau-duplex-attique-face-au-lac/?1024x768/3/60/anibis/215/384/030/hxK9t4J9jU61IrZ8_pA3PA_1.jpg', 'https://can01.anibis.ch/Vaud-Tres-beau-duplex-attique-face-au-lac/?1024x768/3/60/anibis/215/384/030/KR7FkDi4FEOeVEmPXCDeRQ_1.jpg', 'https://can01.anibis.ch/Vaud-Tres-beau-duplex-attique-face-au-lac/?1024x768/3/60/anibis/215/384/030/72HTNlmSEk-DQIfuEyvUHg_1.jpg', 'https://can01.anibis.ch/Vaud-Tres-beau-duplex-attique-face-au-lac/?1024x768/3/60/anibis/215/384/030/P46OB4eeD0SMoPUc1rfNPw_1.jpg', 'https://can01.anibis.ch/Vaud-Tres-beau-duplex-attique-face-au-lac/?1024x768/3/60/anibis/215/384/030/8g-YbugD10ay-DHkqiLpBw_1.jpg', 'https://can01.anibis.ch/Vaud-Tres-beau-duplex-attique-face-au-lac/?1024x768/3/60/anibis/215/384/030/2-XljhXRm0upuOMeDWGBsw_1.jpg', 'https://can01.anibis.ch/Vaud-Tres-beau-duplex-attique-face-au-lac/?1024x768/3/60/anibis/215/384/030/KWNk6LZYQEefkX7WMXlyzA_1.jpg', 'https://can01.anibis.ch/Vaud-Tres-beau-duplex-attique-face-au-lac/?1024x768/3/60/anibis/215/384/030/Jtm4ylSTB0qe1J912gxCUA_1.jpg', 'https://can01.anibis.ch/Vaud-Tres-beau-duplex-attique-face-au-lac/?1024x768/3/60/anibis/215/384/030/zhIonENNE0WjGHJ2RxrdTA_1.jpg', 'https://can01.anibis.ch/Vaud-Tres-beau-duplex-attique-face-au-lac/?1024x768/3/60/anibis/215/384/030/4eAVJ1ICD0eZXA0-cJopXA_1.jpg']"
"ID51909","https://anibis.ch/fr/d-immobilier-immobilier-locations-zurich--436/bel-appartement-de-luxe-compl%c3%a8tement-meubl%c3%89--30384467.aspx?view=2&pi=1&fcid=410&pr=1","Bel appartement de luxe complètement MEUBLÉ","bel appartement de standing complètement MEUBLE. Il se compose d'un hall d'entrée, un living lumineux donnant sur une grande terrasse de +- 13m², une cuisine ouverte super-équipée, une chambre avec salle de bain et une chambre avec salle de douche, wc séparé, buanderie avec machine à laver et séchoir. DIVERS : Belle finitions - Chaudière individuelle - Cave ","Suisse","Zurich","8008","(ZH)","Wildbachstrasse 49",">undefined phone number<","RENT","1","0","0",">undefined room<","88 m2","1800","CHF",">undefined availableDate<","Animaux domestiques acceptés - Ascenseur - Balcon / Terrasse / Jardinet - Garage / Place de parc ","['https://can01.anibis.ch/Zurich-Bel-appartement-de-luxe-completement-MEUBLE/?1024x768/3/60/anibis/467/384/030/FIT1-dumE0WKa9Vz-ADizA_1.jpg', 'https://can01.anibis.ch/Zurich-Bel-appartement-de-luxe-completement-MEUBLE/?1024x768/3/60/anibis/467/384/030/CC-u5u_xH02MIMnfyV3JcA_1.jpg', 'https://can01.anibis.ch/Zurich-Bel-appartement-de-luxe-completement-MEUBLE/?1024x768/3/60/anibis/467/384/030/IUwg8A7C8kOEMVkah44_qw_1.jpg', 'https://can01.anibis.ch/Zurich-Bel-appartement-de-luxe-completement-MEUBLE/?1024x768/3/60/anibis/467/384/030/WntL0qsaCUuju-2_Ll9_ew_1.jpg', 'https://can01.anibis.ch/Zurich-Bel-appartement-de-luxe-completement-MEUBLE/?1024x768/3/60/anibis/467/384/030/FZM-_JKlHkWUb0id9f3cPQ_1.jpg', 'https://can01.anibis.ch/Zurich-Bel-appartement-de-luxe-completement-MEUBLE/?1024x768/3/60/anibis/467/384/030/AfPntp4zfEG8LYSVnn4Y3A_1.jpg', 'https://can01.anibis.ch/Zurich-Bel-appartement-de-luxe-completement-MEUBLE/?1024x768/3/60/anibis/467/384/030/7DcsbeY6s0S4uq-b7EtPAA_1.jpg', 'https://can01.anibis.ch/Zurich-Bel-appartement-de-luxe-completement-MEUBLE/?1024x768/3/60/anibis/467/384/030/tkbyXtwLFUu0-5eklCJzUw_1.jpg']"
"ID64671","https://anibis.ch/fr/d-immobilier-immobilier-locations-fribourg--417/a-louer-grand-appartement-de-3-1-2-pces-%c3%a0-bussy--30384443.aspx?view=2&pi=1&fcid=410&pr=1","A louer grand appartement de 3 1/2 pces à Bussy","Au centre du village de Bussy. A 5 min en voiture d'Estavayer-le-Lac, à 3 min de l'A1 et à 5 min de l'aéroport de Payerne, cet immeuble est situé dans un endroit calme avec une superbe vue sur la campagne. Ce magnifique appartement de 3.5 pièces au 1er étage a une surface de plus de 87 m2 habitables. Vous y trouverez une superbe cuisine américaine ouverte et une spacieuse salle à manger avec salon et un balcon. L'appartement bénéficie d'une salle d'eau avec douche, WC et 2 grandes chambres à coucher. Ce magnifique appartement dispose encore d'une cave et d'une place de parc extérieure.

Premier loyer gratuit.

Le loyer est de CHF 1'500.00 charges comprises et également une place de parc.","Suisse","Bussy FR","1541","(FR)","Route des Baudèzes 44","+41 791552200","RENT","1","0","0","3.0 ","87 m2","1500","CHF","01.02.2020","Balcon / Terrasse / Jardinet - Garage / Place de parc ","['https://can01.anibis.ch/Fribourg-A-louer-grand-appartement-de-3-1-2-pces-a-Bussy/?1024x768/3/60/anibis/443/384/030/QnTVWogT8E2hb_M-uvfpvw_1.jpg', 'https://can01.anibis.ch/Fribourg-A-louer-grand-appartement-de-3-1-2-pces-a-Bussy/?1024x768/3/60/anibis/443/384/030/kpKdikgWi0-2ThgT41ksBA_1.jpg', 'https://can01.anibis.ch/Fribourg-A-louer-grand-appartement-de-3-1-2-pces-a-Bussy/?1024x768/3/60/anibis/443/384/030/ezCRR4uMokKQHwAlvfG8Eg_1.jpg', 'https://can01.anibis.ch/Fribourg-A-louer-grand-appartement-de-3-1-2-pces-a-Bussy/?1024x768/3/60/anibis/443/384/030/K6qnDlrNjkuDyOVXs0sutQ_1.jpg', 'https://can01.anibis.ch/Fribourg-A-louer-grand-appartement-de-3-1-2-pces-a-Bussy/?1024x768/3/60/anibis/443/384/030/_T17eK6y3E26cEUGpu_uoQ_1.jpg', 'https://can01.anibis.ch/Fribourg-A-louer-grand-appartement-de-3-1-2-pces-a-Bussy/?1024x768/3/60/anibis/443/384/030/uEg77cOhFk6vmW_bMjfKGg_1.jpg', 'https://can01.anibis.ch/Fribourg-A-louer-grand-appartement-de-3-1-2-pces-a-Bussy/?1024x768/3/60/anibis/443/384/030/joHIP9bx20mWlwC2Sd5tow_1.jpg']"
"ID31510","https://anibis.ch/fr/d-immobilier-immobilier-locations-neuch%c3%a2tel--423/appartement-magnifique-centre-ville--30384455.aspx?view=2&pi=1&fcid=410&pr=1","Appartement magnifique centre ville","Magnifique 4,5 pièces au centre de Neuchâtel en duplex. Vue sur la collégiale, situé rue des bercles.

Appartement très lumineux avec cachet et complètement rénové il y a trois ans et demi.

Au rez de chaussée:   
- une grande chambre  
- une plus petite qui fait office de dressing/bureau  
- une grande pièce à vivre lumineuse salon, salle à manger, cuisine entièrement équipée

A l'étage:  
- une grande chambre mansardée, lumineuse  
- un galetas

Buanderie commune au même étage.

Prix: 1790Chf plus 200Chf de charges. Mais il y a la possibilité de garder la conciergerie pour une rémunération de 200Chf/mois. 

Comprend une cave et un galetas.

Libre au 1er octobre ou à convenir si plus tôt","Suisse","Neuchâtel","2000","(NE)","rue des bercles","+41 796641201","RENT","1","8","0","4.5 ","130 m2","1790","CHF","01.10.2019","","['https://can01.anibis.ch/Neuchatel-Appartement-magnifique-centre-ville/?1024x768/3/60/anibis/455/384/030/Rjf85tIN2E6LdZMhoE3tcw_1.jpg', 'https://can01.anibis.ch/Neuchatel-Appartement-magnifique-centre-ville/?1024x768/3/60/anibis/455/384/030/wQxlY1inM0Si9wf1IAOZjw_1.jpg', 'https://can01.anibis.ch/Neuchatel-Appartement-magnifique-centre-ville/?1024x768/3/60/anibis/455/384/030/uWHL-kBzvUamPKe7Tz0ZfA_1.jpg']"
"ID81901","https://anibis.ch/fr/d-immobilier-immobilier-locations-valais--433/local,-d%c3%a9p%c3%b4t,-entrep%c3%b4t,-atelier-d'artisan--30384429.aspx?view=2&pi=1&fcid=410&pr=1","Local, Dépôt, Entrepôt, Atelier d'artisan","situé en bordure de la route Cantonale a Ardon

Dimension:

Longueur 9m

Largeur 7m

Le local est equipé d'un point d'eau et d'un écoulement.

électricité comprise.

2 places de parc extérieur

027/306.15.87","Suisse","Ardon","1957","(VS)","Route du Simplon 74",">undefined phone number<","RENT","9","98","0",">undefined room<",">undefined surface<","900","CHF",">undefined availableDate<","","['https://can01.anibis.ch/Valais-Local,-Depot,-Entrepot,-Atelier-dartisan/?1024x768/3/60/anibis/429/384/030/BajP3b_XZkOMldtXRaIHMQ_1.jpg', 'https://can01.anibis.ch/Valais-Local,-Depot,-Entrepot,-Atelier-dartisan/?1024x768/3/60/anibis/429/384/030/eFOdWQAeyEWWUuKLlK81nA_1.jpg', 'https://can01.anibis.ch/Valais-Local,-Depot,-Entrepot,-Atelier-dartisan/?1024x768/3/60/anibis/429/384/030/pawD-q0qW0ylx3iebGHrEQ_1.jpg', 'https://can01.anibis.ch/Valais-Local,-Depot,-Entrepot,-Atelier-dartisan/?1024x768/3/60/anibis/429/384/030/LvXphh41UUa9PKAnTH5OZQ_1.jpg']"
"ID9841","https://anibis.ch/fr/d-immobilier-immobilier-locations-gen%c3%a8ve--418/magnifique-appartement-en-sous-location-%c3%a0-dur%c3%a9e-d%c3%a9termin%c3%a9e--30375721.aspx?view=2&pi=1&fcid=410&pr=1","Magnifique appartement en sous-location à durée déterminée","Magnifique appartement en sous-location à durée déterminée d’une année du 01.11.2019 au 31.10.2020.

Loyer: 2990/mois, charges incluses (excepté électricité)

Magnifique appartement à la Place du Cirque. 3,5 pièces, lumineux, au dernier étage, récemment rénové, totalement meublé, format duplex. Équipé d’un lave-vaisselle et d’une machine à laver/sèche-linge.

Constitution :

* 2 chambres (dont 1 mezzanine avec dressing fermé)
* 1 salle de bain avec toilettes
* 1 toilettes séparées
* Grand séjour avec cuisine ouvertes

Excellente localisation au centre-ville, à 10min à pied de la gare, idéalement desservi par les transports publics. Zone de restaurants et commerce.

Disponible uniquement en sous-location à durée déterminée d’une année 1 année du 01.11.2019 au 31.10.2020. Uniquement non-fumeurs, sans animaux.

..........

Fantastic flat: one-year sub-let from 01.nov.2019 until 31.oct.2020

Rent: 2990/month, utilities included (except electric)

Amazing flat at Place du Cirque. Natural light with office space (or second bedroom), top floor, recently refurbished and fully furnished. Duplex layout. Dish washer and washing machine (plus dryer).

Key features:

* One bedroom in the upper floor (Duplex) with walk-in closet
* One extra room/office downstairs
* Big stylish living room with open kitchen
* Two bathrooms
* Modern furniture

Excellent location in the city center, 10min walk from the train station and public transport. Restaurant and shopping area.

Available only in fixed-term subleases of one year 1 year from 01.11.2019 to 31.10.2020. Only non-smoking, no pets.

","Suisse","Genève","1205","(GE)","Boulevard de Saint Georges","+41 762131641","RENT","1","8","0","3.0 ",">undefined surface<","2995","CHF","01.11.2019","","['https://can01.anibis.ch/Geneve-Magnifique-appartement-en-sous-location-a-duree-de/?1024x768/3/60/anibis/721/375/030/_9tn6WrgdUWJyCzCwKGkPw_1.jpg', 'https://can01.anibis.ch/Geneve-Magnifique-appartement-en-sous-location-a-duree-de/?1024x768/3/60/anibis/721/375/030/ihtPiItxEkqydEHu9iFovA_1.jpg', 'https://can01.anibis.ch/Geneve-Magnifique-appartement-en-sous-location-a-duree-de/?1024x768/3/60/anibis/721/375/030/kwSfkZgR0UyZwPTQAEvsXg_1.jpg', 'https://can01.anibis.ch/Geneve-Magnifique-appartement-en-sous-location-a-duree-de/?1024x768/3/60/anibis/721/375/030/bSwAR6yvO0OXQ7HoHcC0Yw_1.jpg', 'https://can01.anibis.ch/Geneve-Magnifique-appartement-en-sous-location-a-duree-de/?1024x768/3/60/anibis/721/375/030/FgLKhfjK50-pXFL6LOHIdw_1.jpg', 'https://can01.anibis.ch/Geneve-Magnifique-appartement-en-sous-location-a-duree-de/?1024x768/3/60/anibis/721/375/030/wr_yxXPR6EOg0UtmJxvbDw_1.jpg', 'https://can01.anibis.ch/Geneve-Magnifique-appartement-en-sous-location-a-duree-de/?1024x768/3/60/anibis/721/375/030/MmnORYvkuU2MqUFzee8x6g_1.jpg', 'https://can01.anibis.ch/Geneve-Magnifique-appartement-en-sous-location-a-duree-de/?1024x768/3/60/anibis/721/375/030/7bgO4IkAOkW5Z1Ko__GDww_1.jpg', 'https://can01.anibis.ch/Geneve-Magnifique-appartement-en-sous-location-a-duree-de/?1024x768/3/60/anibis/721/375/030/PhfzpTt4Y06h1WVPH63nLA_1.jpg', 'https://can01.anibis.ch/Geneve-Magnifique-appartement-en-sous-location-a-duree-de/?1024x768/3/60/anibis/721/375/030/1COnjIrXgUWE0I4zgAedZg_1.jpg']"
